id_waktu,id_lokasi,id_unit_ternak,date,jumlah_produksi
259,47346,16,2022-09-16,17.0
260,47346,16,2022-09-17,19.0
261,47346,16,2022-09-18,18.0
262,47346,16,2022-09-19,20.0
263,47346,16,2022-09-20,19.0
264,47346,16,2022-09-21,20.0
265,47346,16,2022-09-22,20.0
266,47346,16,2022-09-23,19.0
267,47346,16,2022-09-24,19.0
268,47346,16,2022-09-25,18.0
269,47346,16,2022-09-26,19.0
270,47346,16,2022-09-27,20.0
271,47346,16,2022-09-28,19.0
272,47346,16,2022-09-29,19.0
273,47346,16,2022-09-30,18.0
274,47346,16,2022-10-01,18.0
275,47346,16,2022-10-02,19.0
276,47346,16,2022-10-03,19.0
277,47346,16,2022-10-04,21.0
278,47346,16,2022-10-05,20.0
279,47346,16,2022-10-06,20.0
280,47346,16,2022-10-07,20.0
281,47346,16,2022-10-08,20.0
282,47346,16,2022-10-09,19.0
283,47346,16,2022-10-10,19.0
284,47346,16,2022-10-11,20.0
285,47346,16,2022-10-12,20.0
286,47346,16,2022-10-13,20.0
287,47346,16,2022-10-14,19.0
288,47346,16,2022-10-15,19.0
289,47346,16,2022-10-16,19.0
290,47346,16,2022-10-17,22.0
291,47346,16,2022-10-18,22.0
292,47346,16,2022-10-19,20.0
293,47346,16,2022-10-20,19.0
294,47346,16,2022-10-21,19.0
295,47346,16,2022-10-22,19.0
296,47346,16,2022-10-23,18.0
297,47346,16,2022-10-24,18.0
298,47346,16,2022-10-25,17.0
299,47346,16,2022-10-26,12.0
300,47346,16,2022-10-27,0.0
301,47346,16,2022-10-28,17.0
302,47346,16,2022-10-29,17.0
303,47346,16,2022-10-30,17.0
304,47346,16,2022-10-31,17.0
305,47346,16,2022-11-01,17.0
306,47346,16,2022-11-02,17.0
307,47346,16,2022-11-03,17.0
308,47346,16,2022-11-04,19.0
309,47346,16,2022-11-05,19.0
310,47346,16,2022-11-06,17.0
311,47346,16,2022-11-07,17.0
312,47346,16,2022-11-08,17.0
313,47346,16,2022-11-09,20.0
314,47346,16,2022-11-10,20.0
315,47346,16,2022-11-11,18.0
316,47346,16,2022-11-12,19.0
317,47346,16,2022-11-13,18.0
318,47346,16,2022-11-14,19.0
319,47346,16,2022-11-15,19.0
320,47346,16,2022-11-16,20.0
321,47346,16,2022-11-17,18.0
322,47346,16,2022-11-18,19.0
323,47346,16,2022-11-19,19.0
324,47346,16,2022-11-20,18.0
325,47346,16,2022-11-21,19.0
326,47346,16,2022-11-22,20.0
327,47346,16,2022-11-23,19.0
328,47346,16,2022-11-24,19.0
329,47346,16,2022-11-25,20.0
330,47346,16,2022-11-26,19.0
331,47346,16,2022-11-27,19.0
332,47346,16,2022-11-28,16.0
333,47346,16,2022-11-29,15.0
334,47346,16,2022-11-30,15.0
335,47346,16,2022-12-01,16.0
336,47346,16,2022-12-02,15.0
337,47346,16,2022-12-03,16.0
338,47346,16,2022-12-04,16.0
339,47346,16,2022-12-05,16.0
340,47346,16,2022-12-06,18.0
341,47346,16,2022-12-07,17.0
342,47346,16,2022-12-08,20.0
343,47346,16,2022-12-09,20.0
344,47346,16,2022-12-10,20.0
345,47346,16,2022-12-11,18.0
346,47346,16,2022-12-12,18.0
347,47346,16,2022-12-13,19.0
348,47346,16,2022-12-14,18.0
349,47346,16,2022-12-15,18.0
350,47346,16,2022-12-16,18.0
351,47346,16,2022-12-17,18.0
352,47346,16,2022-12-18,17.0
353,47346,16,2022-12-19,19.0
354,47346,16,2022-12-20,19.0
355,47346,16,2022-12-21,19.0
356,47346,16,2022-12-22,18.0
357,47346,16,2022-12-23,19.0
358,47346,16,2022-12-24,19.0
359,47346,16,2022-12-25,19.0
360,47346,16,2022-12-26,19.0
361,47346,16,2022-12-27,19.0
362,47346,16,2022-12-28,19.0
363,47346,16,2022-12-29,19.0
364,47346,16,2022-12-30,18.0
365,47346,16,2022-12-31,20.0
366,47346,16,2023-01-01,19.0
367,47346,16,2023-01-02,18.0
368,47346,16,2023-01-03,19.0
369,47346,16,2023-01-04,18.0
370,47346,16,2023-01-05,18.0
371,47346,16,2023-01-06,19.0
372,47346,16,2023-01-07,19.0
373,47346,16,2023-01-08,18.0
374,47346,16,2023-01-09,18.0
375,47346,16,2023-01-10,17.0
376,47346,16,2023-01-11,17.0
377,47346,16,2023-01-12,17.0
378,47346,16,2023-01-13,17.0
379,47346,16,2023-01-14,17.0
380,47346,16,2023-01-15,17.0
381,47346,16,2023-01-16,16.0
382,47346,16,2023-01-17,16.0
383,47346,16,2023-01-18,16.0
384,47346,16,2023-01-19,16.0
385,47346,16,2023-01-20,0.0
386,47346,16,2023-01-21,0.0
387,47346,16,2023-01-22,17.0
388,47346,16,2023-01-23,18.0
389,47346,16,2023-01-24,18.0
390,47346,16,2023-01-25,18.0
391,47346,16,2023-01-26,18.0
392,47346,16,2023-01-27,17.0
393,47346,16,2023-01-28,17.0
394,47346,16,2023-01-29,17.0
395,47346,16,2023-01-30,16.0
396,47346,16,2023-01-31,18.0
397,47346,16,2023-02-01,16.0
398,47346,16,2023-02-02,17.0
399,47346,16,2023-02-03,16.0
400,47346,16,2023-02-04,15.0
401,47346,16,2023-02-05,16.0
402,47346,16,2023-02-06,15.0
403,47346,16,2023-02-07,15.0
404,47346,16,2023-02-08,15.0
405,47346,16,2023-02-09,16.0
406,47346,16,2023-02-10,16.0
407,47346,16,2023-02-11,16.0
408,47346,16,2023-02-12,16.0
409,47346,16,2023-02-13,15.0
410,47346,16,2023-02-14,14.0
411,47346,16,2023-02-15,14.0
412,47346,16,2023-02-16,14.0
413,47346,16,2023-02-17,14.0
414,47346,16,2023-02-18,13.0
415,47346,16,2023-02-19,14.0
416,47346,16,2023-02-20,14.0
417,47346,16,2023-02-21,14.0
418,47346,16,2023-02-22,14.0
419,47346,16,2023-02-23,15.0
420,47346,16,2023-02-24,15.0
421,47346,16,2023-02-25,15.0
422,47346,16,2023-02-26,14.0
423,47346,16,2023-02-27,14.0
424,47346,16,2023-02-28,13.0
